Symbol,Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
USDT-USD,"May 7, 2025",1.0000,1.0005,0.9998,1.0002,1.0002,"58,776,530,944"
USDT-USD,"May 6, 2025",0.9999,1.0014,0.9996,1.0000,1.0000,"56,328,642,132"
USDT-USD,"May 5, 2025",1.0000,1.0015,0.9997,0.9999,0.9999,"52,376,592,856"
USDT-USD,"May 4, 2025",1.0002,1.0014,0.9998,1.0000,1.0000,"39,019,645,137"
USDT-USD,"May 3, 2025",1.0003,1.0011,1.0000,1.0002,1.0002,"37,059,197,790"
USDT-USD,"May 2, 2025",1.0003,1.0007,0.9999,1.0003,1.0003,"53,577,687,728"
USDT-USD,"May 1, 2025",1.0002,1.0011,0.9998,1.0003,1.0003,"63,545,852,894"
USDT-USD,"Apr 30, 2025",1.0003,1.0014,0.9998,1.0002,1.0002,"60,565,082,309"
USDT-USD,"Apr 29, 2025",1.0003,1.0011,0.9999,1.0003,1.0003,"58,847,439,395"
USDT-USD,"Apr 28, 2025",1.0003,1.0011,0.9998,1.0003,1.0003,"71,418,678,616"
USDT-USD,"Apr 27, 2025",1.0005,1.0011,0.9999,1.0003,1.0003,"45,636,119,067"
USDT-USD,"Apr 26, 2025",1.0005,1.0011,1.0000,1.0003,1.0003,"50,556,786,801"
USDT-USD,"Apr 25, 2025",1.0004,1.0011,0.9999,1.0006,1.0006,"82,748,542,699"
USDT-USD,"Apr 24, 2025",1.0003,1.0008,0.9995,1.0003,1.0003,"70,478,465,816"
USDT-USD,"Apr 23, 2025",1.0003,1.0007,0.9990,1.0003,1.0003,"89,456,481,949"
USDT-USD,"Apr 22, 2025",1.0000,1.0011,0.9990,1.0003,1.0003,"97,051,535,759"
USDT-USD,"Apr 21, 2025",0.9999,1.0006,0.9982,0.9999,0.9999,"72,249,779,354"
USDT-USD,"Apr 20, 2025",0.9999,1.0003,0.9991,0.9999,0.9999,"37,039,868,478"
USDT-USD,"Apr 19, 2025",0.9997,1.0001,0.9989,0.9999,0.9999,"34,424,066,182"
USDT-USD,"Apr 18, 2025",0.9999,1.0004,0.9990,0.9997,0.9997,"33,063,109,617"
USDT-USD,"Apr 17, 2025",0.9999,1.0003,0.9987,0.9999,0.9999,"47,118,773,907"
USDT-USD,"Apr 16, 2025",0.9999,1.0006,0.9994,0.9999,0.9999,"59,750,641,080"
USDT-USD,"Apr 15, 2025",0.9997,1.0004,0.9993,0.9999,0.9999,"54,947,280,667"
USDT-USD,"Apr 14, 2025",0.9997,1.0003,0.9992,0.9997,0.9997,"65,444,521,521"
USDT-USD,"Apr 13, 2025",0.9998,1.0003,0.9990,0.9997,0.9997,"60,193,768,880"
USDT-USD,"Apr 12, 2025",0.9995,1.0002,0.9989,0.9999,0.9999,"53,780,414,831"
USDT-USD,"Apr 11, 2025",0.9993,1.0001,0.9987,0.9995,0.9995,"69,911,193,868"
USDT-USD,"Apr 10, 2025",0.9997,1.0006,0.9986,0.9993,0.9993,"80,163,124,209"
USDT-USD,"Apr 9, 2025",0.9990,1.0005,0.9984,0.9997,0.9997,"139,544,979,611"
USDT-USD,"Apr 8, 2025",0.9997,1.0006,0.9985,0.9990,0.9990,"81,564,232,647"
USDT-USD,"Apr 7, 2025",0.9993,1.0010,0.9979,0.9998,0.9998,"159,480,342,752"
USDT-USD,"Apr 6, 2025",0.9996,1.0007,0.9987,0.9993,0.9993,"74,366,051,040"
USDT-USD,"Apr 5, 2025",0.9996,1.0005,0.9992,0.9996,0.9996,"34,108,090,670"
USDT-USD,"Apr 4, 2025",0.9996,1.0004,0.9988,0.9996,0.9996,"79,619,710,660"
USDT-USD,"Apr 3, 2025",0.9998,1.0004,0.9990,0.9996,0.9996,"74,632,997,745"
USDT-USD,"Apr 2, 2025",1.0000,1.0008,0.9982,0.9998,0.9998,"91,631,661,187"
USDT-USD,"Apr 1, 2025",0.9998,1.0007,0.9995,1.0000,1.0000,"58,370,134,998"
USDT-USD,"Mar 31, 2025",0.9999,1.0015,0.9995,0.9998,0.9998,"59,967,779,901"
USDT-USD,"Mar 30, 2025",0.9996,1.0009,0.9994,0.9999,0.9999,"38,085,432,412"
USDT-USD,"Mar 29, 2025",0.9995,1.0012,0.9992,0.9996,0.9996,"45,385,777,468"
USDT-USD,"Mar 28, 2025",0.9997,1.0013,0.9990,0.9995,0.9995,"71,112,920,720"
USDT-USD,"Mar 27, 2025",1.0000,1.0012,0.9995,0.9997,0.9997,"55,911,263,699"
USDT-USD,"Mar 26, 2025",1.0001,1.0013,0.9997,1.0001,1.0001,"58,872,800,987"
USDT-USD,"Mar 25, 2025",1.0002,1.0012,0.9997,1.0002,1.0002,"58,456,757,340"
USDT-USD,"Mar 24, 2025",1.0001,1.0011,0.9997,1.0004,1.0004,"67,599,933,158"
USDT-USD,"Mar 23, 2025",0.9999,1.0008,0.9995,1.0000,1.0000,"39,613,720,219"
USDT-USD,"Mar 22, 2025",0.9997,1.0008,0.9993,0.9999,0.9999,"33,001,997,620"
USDT-USD,"Mar 21, 2025",0.9994,1.0006,0.9992,0.9996,0.9996,"47,826,756,168"
USDT-USD,"Mar 20, 2025",1.0002,1.0015,0.9992,0.9995,0.9995,"61,655,037,854"
USDT-USD,"Mar 19, 2025",0.9998,1.0019,0.9992,1.0003,1.0003,"77,454,470,815"
USDT-USD,"Mar 18, 2025",1.0000,1.0012,0.9995,0.9998,0.9998,"55,568,882,437"
USDT-USD,"Mar 17, 2025",1.0001,1.0012,0.9989,1.0000,1.0000,"56,970,443,832"
USDT-USD,"Mar 16, 2025",1.0000,1.0017,0.9995,1.0001,1.0001,"48,641,020,262"
USDT-USD,"Mar 15, 2025",1.0000,1.0011,0.9997,1.0000,1.0000,"38,617,325,773"
USDT-USD,"Mar 14, 2025",0.9996,1.0018,0.9993,1.0000,1.0000,"60,468,227,136"
USDT-USD,"Mar 13, 2025",0.9997,1.0014,0.9992,0.9996,0.9996,"69,499,068,047"
USDT-USD,"Mar 12, 2025",0.9997,1.0020,0.9988,0.9997,0.9997,"78,841,806,978"
USDT-USD,"Mar 11, 2025",0.9997,1.0025,0.9988,0.9998,0.9998,"104,880,955,133"
USDT-USD,"Mar 10, 2025",0.9998,1.0020,0.9987,0.9997,0.9997,"106,068,799,847"
USDT-USD,"Mar 9, 2025",0.9997,1.0017,0.9994,0.9997,0.9997,"66,660,356,811"
USDT-USD,"Mar 8, 2025",0.9996,1.0015,0.9992,0.9997,0.9997,"45,463,660,288"
USDT-USD,"Mar 7, 2025",1.0001,1.0021,0.9991,0.9996,0.9996,"111,427,883,161"
USDT-USD,"Mar 6, 2025",1.0000,1.0021,0.9994,1.0001,1.0001,"87,306,564,550"
USDT-USD,"Mar 5, 2025",0.9997,1.0017,0.9993,0.9999,0.9999,"91,447,454,228"
USDT-USD,"Mar 4, 2025",0.9992,1.0019,0.9987,0.9997,0.9997,"130,594,229,329"
USDT-USD,"Mar 3, 2025",1.0001,1.0021,0.9985,0.9992,0.9992,"135,811,207,338"
USDT-USD,"Mar 2, 2025",0.9995,1.0030,0.9991,1.0001,1.0001,"133,280,929,229"
USDT-USD,"Mar 1, 2025",0.9995,1.0015,0.9990,0.9994,0.9994,"62,938,723,492"
USDT-USD,"Feb 28, 2025",0.9989,1.0015,0.9981,0.9995,0.9995,"146,908,454,227"
USDT-USD,"Feb 27, 2025",0.9985,1.0012,0.9982,0.9990,0.9990,"98,043,035,762"
USDT-USD,"Feb 26, 2025",0.9988,1.0005,0.9978,1.0002,1.0002,"119,836,685,405"
USDT-USD,"Feb 25, 2025",0.9997,1.0018,0.9981,0.9990,0.9990,"170,041,838,176"
USDT-USD,"Feb 24, 2025",1.0001,1.0014,0.9993,0.9998,0.9998,"100,852,116,996"
USDT-USD,"Feb 23, 2025",1.0002,1.0013,0.9997,1.0001,1.0001,"54,022,199,584"
USDT-USD,"Feb 22, 2025",0.9996,1.0008,0.9994,1.0002,1.0002,"57,283,088,675"
USDT-USD,"Feb 21, 2025",1.0003,1.0015,0.9988,0.9995,0.9995,"108,902,119,689"
USDT-USD,"Feb 20, 2025",0.9999,1.0014,0.9997,1.0003,1.0003,"72,455,845,464"
USDT-USD,"Feb 19, 2025",0.9994,1.0013,0.9991,0.9999,0.9999,"65,862,475,675"
USDT-USD,"Feb 18, 2025",0.9999,1.0012,0.9991,0.9994,0.9994,"85,488,692,072"
USDT-USD,"Feb 17, 2025",1.0001,1.0013,0.9998,0.9999,0.9999,"73,802,340,406"
USDT-USD,"Feb 16, 2025",1.0001,1.0008,0.9998,1.0001,1.0001,"45,737,337,095"
USDT-USD,"Feb 15, 2025",1.0001,1.0005,0.9999,1.0002,1.0002,"49,511,991,572"
USDT-USD,"Feb 14, 2025",1.0002,1.0013,0.9995,1.0001,1.0001,"82,431,082,792"
USDT-USD,"Feb 13, 2025",1.0001,1.0012,0.9990,1.0002,1.0002,"83,624,826,615"
USDT-USD,"Feb 12, 2025",0.9999,1.0024,0.9994,1.0001,1.0001,"102,503,671,614"
USDT-USD,"Feb 11, 2025",1.0002,1.0013,0.9995,0.9999,0.9999,"84,538,857,183"
USDT-USD,"Feb 10, 2025",1.0002,1.0014,0.9996,1.0001,1.0001,"82,150,710,154"
USDT-USD,"Feb 9, 2025",1.0003,1.0016,0.9996,1.0002,1.0002,"67,025,155,232"
USDT-USD,"Feb 8, 2025",1.0003,1.0010,0.9997,1.0002,1.0002,"59,882,139,192"
USDT-USD,"Feb 7, 2025",1.0001,1.0013,0.9995,1.0003,1.0003,"107,866,064,908"
USDT-USD,"Feb 6, 2025",1.0001,1.0018,0.9996,1.0002,1.0002,"99,009,274,148"
USDT-USD,"Feb 5, 2025",1.0001,1.0012,0.9993,1.0001,1.0001,"100,967,848,652"
USDT-USD,"Feb 4, 2025",1.0010,1.0016,0.9994,1.0002,1.0002,"155,187,896,041"
USDT-USD,"Feb 3, 2025",0.9997,1.0025,0.9976,1.0011,1.0011,"292,831,861,639"
USDT-USD,"Feb 2, 2025",0.9999,1.0008,0.9984,0.9998,0.9998,"147,745,588,018"
USDT-USD,"Feb 1, 2025",0.9997,1.0008,0.9993,0.9998,0.9998,"72,792,811,129"
USDT-USD,"Jan 31, 2025",1.0001,1.0006,0.9992,0.9998,0.9998,"96,233,410,167"
USDT-USD,"Jan 30, 2025",1.0002,1.0009,0.9995,1.0001,1.0001,"83,411,405,756"
USDT-USD,"Jan 29, 2025",0.9994,1.0006,0.9990,1.0001,1.0001,"94,067,494,817"
USDT-USD,"Jan 28, 2025",1.0000,1.0010,0.9990,0.9996,0.9996,"91,853,415,796"
USDT-USD,"Jan 27, 2025",0.9997,1.0013,0.9988,1.0000,1.0000,"162,852,896,419"
USDT-USD,"Jan 26, 2025",0.9999,1.0005,0.9994,0.9997,0.9997,"63,723,125,224"
USDT-USD,"Jan 25, 2025",0.9999,1.0002,0.9993,0.9999,0.9999,"65,014,479,482"
USDT-USD,"Jan 24, 2025",1.0002,1.0007,0.9995,0.9999,0.9999,"106,044,721,443"
USDT-USD,"Jan 23, 2025",0.9996,1.0009,0.9989,1.0002,1.0002,"156,427,496,541"
USDT-USD,"Jan 22, 2025",0.9998,1.0007,0.9994,0.9995,0.9995,"112,098,975,855"
USDT-USD,"Jan 21, 2025",0.9987,1.0005,0.9982,0.9999,0.9999,"174,822,279,640"
USDT-USD,"Jan 20, 2025",0.9990,1.0010,0.9976,0.9990,0.9990,"273,447,339,459"
USDT-USD,"Jan 19, 2025",0.9991,1.0001,0.9979,0.9990,0.9990,"242,157,716,336"
USDT-USD,"Jan 18, 2025",1.0003,1.0006,0.9986,0.9991,0.9991,"142,636,119,598"
USDT-USD,"Jan 17, 2025",0.9999,1.0010,0.9990,1.0003,1.0003,"134,437,311,375"
USDT-USD,"Jan 16, 2025",1.0001,1.0005,0.9988,0.9999,0.9999,"121,313,098,677"
USDT-USD,"Jan 15, 2025",0.9998,1.0010,0.9979,1.0000,1.0000,"123,293,293,794"
USDT-USD,"Jan 14, 2025",0.9996,1.0009,0.9992,0.9998,0.9998,"98,005,957,394"
USDT-USD,"Jan 13, 2025",0.9995,1.0010,0.9983,0.9995,0.9995,"144,300,712,698"
USDT-USD,"Jan 12, 2025",0.9996,1.0005,0.9991,0.9995,0.9995,"54,637,025,454"
USDT-USD,"Jan 11, 2025",0.9999,1.0008,0.9992,0.9996,0.9996,"57,535,335,308"
USDT-USD,"Jan 10, 2025",1.0000,1.0015,0.9992,0.9999,0.9999,"118,957,513,491"
USDT-USD,"Jan 9, 2025",0.9998,1.0014,0.9991,1.0000,1.0000,"123,330,689,723"
USDT-USD,"Jan 8, 2025",0.9999,1.0010,0.9991,0.9998,0.9998,"136,465,081,033"
USDT-USD,"Jan 7, 2025",1.0004,1.0008,0.9989,0.9999,0.9999,"131,667,426,225"
USDT-USD,"Jan 6, 2025",0.9999,1.0010,0.9994,1.0004,1.0004,"108,122,902,094"
USDT-USD,"Jan 5, 2025",1.0000,1.0005,0.9994,0.9999,0.9999,"64,028,140,855"
USDT-USD,"Jan 4, 2025",0.9995,1.0005,0.9994,1.0000,1.0000,"74,021,836,865"
USDT-USD,"Jan 3, 2025",0.9990,1.0004,0.9987,0.9995,0.9995,"98,538,090,257"
USDT-USD,"Jan 2, 2025",0.9978,1.0006,0.9976,0.9991,0.9991,"105,203,615,172"
USDT-USD,"Jan 1, 2025",0.9980,0.9992,0.9974,0.9978,0.9978,"68,502,735,817"
USDT-USD,"Dec 31, 2024",0.9981,1.0000,0.9978,0.9981,0.9981,"91,819,301,596"
USDT-USD,"Dec 30, 2024",0.9982,0.9997,0.9971,0.9981,0.9981,"115,072,081,499"
USDT-USD,"Dec 29, 2024",0.9982,0.9993,0.9976,0.9981,0.9981,"69,693,606,139"
USDT-USD,"Dec 28, 2024",0.9986,0.9996,0.9979,0.9982,0.9982,"67,439,233,134"
USDT-USD,"Dec 27, 2024",0.9989,1.0000,0.9978,0.9986,0.9986,"109,643,243,034"
USDT-USD,"Dec 26, 2024",0.9992,1.0006,0.9986,0.9988,0.9988,"103,981,654,028"
USDT-USD,"Dec 25, 2024",0.9993,1.0005,0.9988,0.9992,0.9992,"95,006,873,018"
USDT-USD,"Dec 24, 2024",0.9987,1.0004,0.9982,0.9993,0.9993,"110,251,264,354"
USDT-USD,"Dec 23, 2024",0.9990,1.0001,0.9982,0.9987,0.9987,"143,549,331,087"
USDT-USD,"Dec 22, 2024",0.9997,1.0006,0.9986,0.9991,0.9991,"113,706,935,887"
USDT-USD,"Dec 21, 2024",0.9995,1.0006,0.9991,0.9998,0.9998,"145,138,019,727"
USDT-USD,"Dec 20, 2024",0.9992,1.0007,0.9979,0.9995,0.9995,"259,587,932,676"
USDT-USD,"Dec 19, 2024",0.9995,1.0006,0.9977,0.9992,0.9992,"235,961,162,359"
USDT-USD,"Dec 18, 2024",1.0001,1.0003,0.9981,0.9997,0.9997,"204,621,508,146"
USDT-USD,"Dec 17, 2024",1.0002,1.0005,0.9986,1.0001,1.0001,"153,946,818,098"
USDT-USD,"Dec 16, 2024",0.9993,1.0006,0.9985,1.0001,1.0001,"182,117,784,211"
USDT-USD,"Dec 15, 2024",0.9997,1.0001,0.9992,0.9994,0.9994,"110,558,845,836"
USDT-USD,"Dec 14, 2024",1.0001,1.0003,0.9993,0.9997,0.9997,"105,119,424,690"
USDT-USD,"Dec 13, 2024",1.0001,1.0007,0.9993,1.0001,1.0001,"138,144,222,106"
USDT-USD,"Dec 12, 2024",1.0006,1.0011,0.9991,1.0001,1.0001,"175,416,498,704"
USDT-USD,"Dec 11, 2024",1.0007,1.0014,1.0000,1.0006,1.0006,"183,494,290,144"
USDT-USD,"Dec 10, 2024",1.0005,1.0016,0.9998,1.0007,1.0007,"258,614,541,407"
USDT-USD,"Dec 9, 2024",1.0007,1.0024,0.9982,1.0004,1.0004,"268,299,692,134"
USDT-USD,"Dec 8, 2024",1.0009,1.0012,1.0002,1.0008,1.0008,"124,097,864,930"
USDT-USD,"Dec 7, 2024",1.0015,1.0018,1.0004,1.0009,1.0009,"134,071,994,829"
USDT-USD,"Dec 6, 2024",1.0011,1.0021,0.9996,1.0015,1.0015,"217,009,391,726"
USDT-USD,"Dec 5, 2024",1.0013,1.0026,0.9994,1.0022,1.0022,"300,668,571,420"
USDT-USD,"Dec 4, 2024",1.0009,1.0027,1.0002,1.0013,1.0013,"230,862,012,926"
USDT-USD,"Dec 3, 2024",1.0003,1.0013,0.9994,1.0010,1.0010,"228,432,340,978"
USDT-USD,"Dec 2, 2024",1.0008,1.0015,0.9997,1.0003,1.0003,"227,268,445,649"
USDT-USD,"Dec 1, 2024",1.0007,1.0012,1.0002,1.0008,1.0008,"130,353,277,727"
USDT-USD,"Nov 30, 2024",1.0004,1.0011,1.0002,1.0006,1.0006,"120,928,470,477"
USDT-USD,"Nov 29, 2024",1.0002,1.0015,0.9999,1.0004,1.0004,"134,186,448,971"
USDT-USD,"Nov 28, 2024",1.0009,1.0013,0.9998,1.0002,1.0002,"129,679,180,306"
USDT-USD,"Nov 27, 2024",0.9996,1.0017,0.9993,1.0010,1.0010,"160,374,457,051"
USDT-USD,"Nov 26, 2024",0.9999,1.0014,0.9990,0.9997,0.9997,"181,473,614,140"
USDT-USD,"Nov 25, 2024",1.0010,1.0014,0.9991,1.0000,1.0000,"191,694,839,817"
USDT-USD,"Nov 24, 2024",1.0009,1.0015,0.9995,1.0009,1.0009,"161,179,026,067"
USDT-USD,"Nov 23, 2024",1.0011,1.0027,0.9999,1.0009,1.0009,"175,794,188,544"
USDT-USD,"Nov 22, 2024",1.0011,1.0016,0.9994,1.0011,1.0011,"168,744,865,627"
USDT-USD,"Nov 21, 2024",1.0007,1.0015,0.9990,1.0011,1.0011,"196,629,125,698"
USDT-USD,"Nov 20, 2024",1.0014,1.0018,0.9996,1.0008,1.0008,"140,774,842,890"
USDT-USD,"Nov 19, 2024",1.0006,1.0016,0.9997,1.0013,1.0013,"145,026,896,702"
USDT-USD,"Nov 18, 2024",1.0002,1.0013,0.9997,1.0006,1.0006,"160,315,204,053"
USDT-USD,"Nov 17, 2024",1.0003,1.0007,0.9995,1.0002,1.0002,"132,049,931,364"
USDT-USD,"Nov 16, 2024",1.0003,1.0008,0.9996,1.0003,1.0003,"132,581,111,290"
USDT-USD,"Nov 15, 2024",1.0000,1.0010,0.9992,1.0004,1.0004,"162,767,483,205"
USDT-USD,"Nov 14, 2024",1.0013,1.0015,0.9994,1.0000,1.0000,"191,362,214,233"
USDT-USD,"Nov 13, 2024",1.0010,1.0027,0.9998,1.0013,1.0013,"249,998,968,429"
USDT-USD,"Nov 12, 2024",1.0010,1.0020,0.9992,1.0010,1.0010,"263,991,047,405"
USDT-USD,"Nov 11, 2024",1.0008,1.0024,0.9997,1.0011,1.0011,"221,704,336,713"
USDT-USD,"Nov 10, 2024",1.0005,1.0013,0.9990,1.0007,1.0007,"178,936,402,107"
USDT-USD,"Nov 9, 2024",1.0005,1.0008,0.9998,1.0004,1.0004,"79,860,693,662"
USDT-USD,"Nov 8, 2024",1.0007,1.0015,0.9998,1.0005,1.0005,"102,072,246,665"
USDT-USD,"Nov 7, 2024",1.0008,1.0018,0.9997,1.0007,1.0007,"113,210,698,441"
USDT-USD,"Nov 6, 2024",1.0000,1.0018,0.9989,1.0008,1.0008,"174,263,401,161"
USDT-USD,"Nov 5, 2024",0.9995,1.0010,0.9991,1.0000,1.0000,"69,890,308,288"
USDT-USD,"Nov 4, 2024",0.9996,1.0006,0.9989,0.9996,0.9996,"64,129,566,492"
USDT-USD,"Nov 3, 2024",0.9997,1.0007,0.9993,0.9996,0.9996,"57,567,131,255"
USDT-USD,"Nov 2, 2024",0.9995,1.0005,0.9993,0.9997,0.9997,"35,453,783,349"
USDT-USD,"Nov 1, 2024",0.9987,1.0006,0.9982,0.9994,0.9994,"75,894,767,746"
USDT-USD,"Oct 31, 2024",0.9996,1.0006,0.9982,0.9986,0.9986,"67,445,977,914"
USDT-USD,"Oct 30, 2024",0.9997,1.0008,0.9985,0.9996,0.9996,"69,142,436,437"
USDT-USD,"Oct 29, 2024",0.9993,1.0003,0.9988,0.9997,0.9997,"87,586,242,107"
USDT-USD,"Oct 28, 2024",0.9987,1.0003,0.9983,0.9993,0.9993,"66,855,500,410"
USDT-USD,"Oct 27, 2024",0.9989,0.9996,0.9983,0.9987,0.9987,"34,453,667,355"
USDT-USD,"Oct 26, 2024",0.9980,1.0000,0.9978,0.9987,0.9987,"44,076,956,725"
USDT-USD,"Oct 25, 2024",0.9995,1.0002,0.9969,0.9982,0.9982,"78,091,841,017"
USDT-USD,"Oct 24, 2024",0.9990,1.0000,0.9985,0.9995,0.9995,"57,614,263,583"
USDT-USD,"Oct 23, 2024",0.9994,1.0002,0.9984,0.9992,0.9992,"60,689,585,382"
USDT-USD,"Oct 22, 2024",0.9997,1.0005,0.9990,0.9994,0.9994,"58,886,789,137"
USDT-USD,"Oct 21, 2024",0.9997,1.0005,0.9990,0.9998,0.9998,"66,839,777,317"
USDT-USD,"Oct 20, 2024",1.0000,1.0003,0.9993,0.9997,0.9997,"45,409,324,314"
USDT-USD,"Oct 19, 2024",0.9999,1.0002,0.9992,0.9999,0.9999,"32,490,132,300"
USDT-USD,"Oct 18, 2024",0.9997,1.0006,0.9991,0.9999,0.9999,"59,487,210,585"
USDT-USD,"Oct 17, 2024",0.9998,1.0008,0.9992,0.9997,0.9997,"55,057,801,321"
USDT-USD,"Oct 16, 2024",0.9998,1.0008,0.9994,0.9998,0.9998,"63,169,854,723"
USDT-USD,"Oct 15, 2024",0.9995,1.0011,0.9992,0.9998,0.9998,"83,963,242,850"
USDT-USD,"Oct 14, 2024",0.9995,1.0006,0.9981,0.9995,0.9995,"73,645,211,355"
USDT-USD,"Oct 13, 2024",0.9998,1.0008,0.9993,0.9996,0.9996,"36,960,774,632"
USDT-USD,"Oct 12, 2024",0.9997,1.0011,0.9994,0.9998,0.9998,"35,944,351,076"
USDT-USD,"Oct 11, 2024",0.9992,1.0008,0.9988,0.9998,0.9998,"51,632,274,020"
USDT-USD,"Oct 10, 2024",0.9991,1.0003,0.9985,0.9992,0.9992,"53,496,953,156"
USDT-USD,"Oct 9, 2024",0.9994,1.0008,0.9988,0.9991,0.9991,"51,841,377,811"
USDT-USD,"Oct 8, 2024",0.9998,1.0008,0.9991,0.9994,0.9994,"52,704,043,947"
USDT-USD,"Oct 7, 2024",0.9998,1.0011,0.9994,1.0000,1.0000,"62,209,887,550"
USDT-USD,"Oct 6, 2024",1.0000,1.0012,0.9995,0.9998,0.9998,"31,287,737,203"
USDT-USD,"Oct 5, 2024",1.0001,1.0010,0.9996,1.0000,1.0000,"29,417,406,990"
USDT-USD,"Oct 4, 2024",0.9999,1.0012,0.9995,1.0002,1.0002,"52,705,769,943"
USDT-USD,"Oct 3, 2024",0.9997,1.0015,0.9995,1.0000,1.0000,"63,125,979,096"
USDT-USD,"Oct 2, 2024",0.9998,1.0015,0.9995,0.9998,0.9998,"70,063,566,098"
USDT-USD,"Oct 1, 2024",0.9998,1.0018,0.9991,0.9998,0.9998,"87,661,652,549"
USDT-USD,"Sep 30, 2024",1.0001,1.0014,0.9995,0.9998,0.9998,"64,288,823,984"
USDT-USD,"Sep 29, 2024",1.0002,1.0019,0.9999,1.0001,1.0001,"39,151,842,030"
USDT-USD,"Sep 28, 2024",1.0002,1.0012,0.9999,1.0002,1.0002,"38,585,123,416"
USDT-USD,"Sep 27, 2024",1.0002,1.0018,0.9998,1.0002,1.0002,"61,923,482,857"
USDT-USD,"Sep 26, 2024",0.9998,1.0015,0.9996,1.0002,1.0002,"66,981,158,381"
USDT-USD,"Sep 25, 2024",1.0000,1.0013,0.9996,0.9999,0.9999,"50,797,578,929"
USDT-USD,"Sep 24, 2024",1.0000,1.0014,0.9997,1.0000,1.0000,"56,967,919,219"
USDT-USD,"Sep 23, 2024",1.0001,1.0014,0.9997,1.0000,1.0000,"60,077,721,757"
USDT-USD,"Sep 22, 2024",1.0004,1.0015,0.9998,1.0001,1.0001,"41,426,101,070"
USDT-USD,"Sep 21, 2024",1.0001,1.0011,0.9999,1.0003,1.0003,"33,954,200,576"
USDT-USD,"Sep 20, 2024",1.0002,1.0013,0.9997,1.0001,1.0001,"62,999,225,593"
USDT-USD,"Sep 19, 2024",1.0001,1.0019,0.9997,1.0002,1.0002,"68,815,065,769"
USDT-USD,"Sep 18, 2024",1.0001,1.0020,0.9997,1.0004,1.0004,"62,277,811,817"
USDT-USD,"Sep 17, 2024",0.9999,1.0016,0.9996,1.0001,1.0001,"55,698,782,715"
